id,city_name,latitude,longitude
1,品川区,35.6130639,139.6996014
2,新宿区,35.7015837,139.6740918
3,中央区,35.6713237,139.7407813
4,港区,35.6527938,139.7102613
5,千代田区,35.6868824,139.7388267
6,文京区,35.7176993,139.7273099
7,台東区,35.7131944,139.7684394
8,墨田区,35.7151303,139.7804223
9,江東区,35.6433712,139.7394806
10,目黒区,35.632354,139.6545877
11,大田区,35.5670225,139.6691935
12,世田谷区,35.6364946,139.5642879
13,渋谷区,35.6668569,139.6575106
14,中野区,35.7060596,139.6241565
15,杉並区,35.6986714,139.5912997
16,豊島区,35.7291582,139.6975316
17,北区,35.7652196,139.6948117
18,荒川区,35.7397999,139.7644984
19,板橋区,35.7684011,139.6384932
20,練馬区,35.7459199,139.5869125
21,足立区,35.7780423,139.7621193
22,葛飾区,35.7540685,139.8183615
23,江戸川区,35.6927356,139.8058077
